model,category1,category2,frame,price
Supersix Evo Black Inc.,Road,Elite Road,Carbon,12790
Supersix Evo Hi-Mod Team,Road,Elite Road,Carbon,10660
Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon,7990
Supersix Evo Hi-Mod Dura Ace 2,Road,Elite Road,Carbon,5330
Supersix Evo Hi-Mod Utegra,Road,Elite Road,Carbon,4260
Supersix Evo Red,Road,Elite Road,Carbon,3940
Supersix Evo Ultegra 3,Road,Elite Road,Carbon,3200
Supersix Evo Ultegra 4,Road,Elite Road,Carbon,2660
Supersix Evo 105,Road,Elite Road,Carbon,2240
Supersix Evo Tiagra,Road,Elite Road,Carbon,1840
CAAD12 Black Inc,Road,Elite Road,Aluminum,5860
CAAD12 Disc Dura Ace,Road,Elite Road,Aluminum,4260
CAAD12 Red,Road,Elite Road,Aluminum,3200
CAAD Disc Ultegra,Road,Elite Road,Aluminum,2660
CAAD12 Ultegra,Road,Elite Road,Aluminum,2240
CAAD12 Disc 105,Road,Elite Road,Aluminum,1950
CAAD12 105,Road,Elite Road,Aluminum,1680
CAAD8 105,Road,Elite Road,Aluminum,1410
CAAD8 Tiagra,Road,Elite Road,Aluminum,1250
CAAD8 Sora,Road,Elite Road,Aluminum,1030
CAAD8 Claris,Road,Elite Road,Aluminum,815
Synapse Hi-Mod Disc Black Inc.,Road,Endurance Road,Carbon,9590
Synapse Hi-Mod Disc Red,Road,Endurance Road,Carbon,7460
Synapse Hi-Mod Dura Ace,Road,Endurance Road,Carbon,5860
Synapse Hi-Mod Disc Ultegra,Road,Endurance Road,Carbon,5330
Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon,4800
Synapse Carbon Disc Ultegra,Road,Endurance Road,Carbon,3730
Synapse Carbon Ultegra 3,Road,Endurance Road,Carbon,3200
Synapse Carbon Ultegra 4,Road,Endurance Road,Carbon,2660
Synapse Carbon Disc 105,Road,Endurance Road,Carbon,2660
Synapse Carbon 105,Road,Endurance Road,Carbon,2240
Syapse Carbon Tiagra,Road,Endurance Road,Carbon,1840
Synapse Disc Adventure,Road,Endurance Road,Aluminum,2130
Synapse Disc 105,Road,Endurance Road,Aluminum,1570
Synapse Disc Tiagra,Road,Endurance Road,Aluminum,1250
Synapse Sora,Road,Endurance Road,Aluminum,1030
Synapse Claris,Road,Endurance Road,Aluminum,870
Slice Hi-Mod Black Inc.,Road,Triathalon,Carbon,7000
Slice Hi-Mod Dura Ace D12,Road,Triathalon,Carbon,4500
Slice Ultegra D12,Road,Triathalon,Carbon,3200
Slice Ultegra,Road,Triathalon,Carbon,2700
Slice 105,Road,Triathalon,Carbon,1950
SuperX Hi-Mod CX1,Road,Cyclocross,Carbon,3500
SuperX Ultegra,Road,Cyclocross,Carbon,2450
SuperX 105,Road,Cyclocross,Carbon,1960
SuperX Rival CX1,Road,Cyclocross,Carbon,1750
Jekyll Carbon 1,Mountain,Over Mountain,Carbon,7990
Jekyll Carbon 2,Mountain,Over Mountain,Carbon,6070
Jekyll Carbon 3,Mountain,Over Mountain,Carbon,3840
Jekyll Carbon 4,Mountain,Over Mountain,Carbon,3200
Trigger Carbon 1,Mountain,Over Mountain,Carbon,8200
Trigger Carbon 2,Mountain,Over Mountain,Carbon,5970
Trigger Carbon 3,Mountain,Over Mountain,Carbon,3730
Trigger Carbon 4,Mountain,Over Mountain,Carbon,3200
Scalpel-Si Black Inc.,Mountain,Cross Country Race,Carbon,12790
Scalpel-Si Race,Mountain,Cross Country Race,Carbon,9060
Scalpel-Si Hi-Mod 1,Mountain,Cross Country Race,Carbon,7460
Scalpel-Si Carbon 2,Mountain,Cross Country Race,Carbon,6390
Scalpel-Si Carbon 3,Mountain,Cross Country Race,Carbon,5330
Scalpel-Si Carbon 4,Mountain,Cross Country Race,Carbon,4260
Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,3200
Scalpel 29 Carbon Race,Mountain,Cross Country Race,Carbon,6390
Scalpel 29 Carbon 2,Mountain,Cross Country Race,Carbon,5330
Scalpel 29 Carbon 3,Mountain,Cross Country Race,Carbon,4260
Scalpel 29 4,Mountain,Cross Country Race,Aluminum,3200
F-Si Black Inc.,Mountain,Cross Country Race,Carbon,11190
F-Si Hi-Mod Team,Mountain,Cross Country Race,Carbon,9060
F-Si Hi-Mod 1,Mountain,Cross Country Race,Carbon,6390
F-Si Carbon 2,Mountain,Cross Country Race,Carbon,4800
F-Si Carbon 4,Mountain,Cross Country Race,Carbon,2880
F-Si 1,Mountain,Cross Country Race,Aluminum,2340
F-Si 2,Mountain,Cross Country Race,Aluminum,2060
F-Si 3,Mountain,Cross Country Race,Aluminum,1840
Fat CAAD1,Mountain,Fat Bike,Aluminum,3730
Fat CAAD2,Mountain,Fat Bike,Aluminum,2130
Beast of the East 1,Mountain,Trail,Aluminum,2770
Beast of the East 2,Mountain,Trail,Aluminum,2130
Beast of the East 3,Mountain,Trail,Aluminum,1620
Bad Habit 1,Mountain,Trail,Aluminum,3200
Bad Habit 2,Mountain,Trail,Aluminum,2660
Habit Hi-Mod Black Inc.,Mountain,Trail,Carbon,12250
Habit Carbon 1,Mountain,Trail,Carbon,7460
Habit Carbon 2,Mountain,Trail,Carbon,5330
Habit Carbon SE,Mountain,Trail,Carbon,4480
Habit Carbon 3,Mountain,Trail,Carbon,3730
Habit 4,Mountain,Trail,Aluminum,2880
Habit 5,Mountain,Trail,Aluminum,2340
Habit 6,Mountain,Trail,Aluminum,1950
Trail 1,Mountain,Sport,Aluminum,1520
Trail 2,Mountain,Sport,Aluminum,1350
Trail 3,Mountain,Sport,Aluminum,1080
Trail 4,Mountain,Sport,Aluminum,980
Trail 5,Mountain,Sport,Aluminum,815
Catalyst 1,Mountain,Sport,Aluminum,705
Catalyst 2,Mountain,Sport,Aluminum,585
Catalyst 3,Mountain,Sport,Aluminum,480
Catalyst 4,Mountain,Sport,Aluminum,415
